
Output:
                    token                             lexeme
------------------------------------------------------------
                   separator                          $$
                   keyword                            function
                   identifier                         computevalue
                   separator                          (
                   identifier                         x
                   keyword                            integer
                   separator                          ,
                   identifier                         y
                   keyword                            real
                   separator                          )
                   separator                          {
                   keyword                            if
                   separator                          (
                   identifier                         x
                   operator                           ==
                   integer                            0
                   separator                          )
                   separator                          {
                   keyword                            return
                   identifier                         y
                   operator                           +
                   integer                            42
                   separator                          ;
                   separator                          }
                   keyword                            else
                   separator                          {
                   keyword                            return
                   identifier                         x
                   operator                           *
                   separator                          (
                   identifier                         y
                   operator                           /
                   real                               3.14
                   separator                          )
                   operator                           -
                   separator                          (
                   identifier                         x
                   operator                           %
                   integer                            7
                   separator                          )
                   separator                          ;
                   separator                          }
                   keyword                            endif
                   separator                          }
                   separator                          $$
                   keyword                            integer
                   identifier                         a
                   separator                          ,
                   identifier                         b
                   separator                          ,
                   identifier                         c
                   separator                          ;
                   keyword                            real
                   identifier                         result
                   separator                          ;
                   separator                          $$
                   keyword                            scan
                   separator                          (
                   identifier                         a
                   separator                          ,
                   identifier                         b
                   separator                          ,
                   identifier                         c
                   separator                          )
                   separator                          ;
                   keyword                            while
                   separator                          (
                   identifier                         a
                   operator                           <
                   identifier                         b
                   separator                          )
                   separator                          {
                   keyword                            print
                   separator                          (
                   identifier                         a
                   separator                          )
                   separator                          ;
                   identifier                         result
                   operator                           =
                   identifier                         computevalue
                   separator                          (
                   identifier                         a
                   separator                          ,
                   identifier                         c
                   separator                          )
                   separator                          ;
                   keyword                            print
                   separator                          (
                   identifier                         result
                   separator                          )
                   separator                          ;
                   keyword                            if
                   separator                          (
                   identifier                         result
                   operator                           >=
                   real                               100.5
                   separator                          )
                   separator                          {
                   keyword                            break
                   separator                          ;
                   separator                          }
                   identifier                         a
                   operator                           =
                   identifier                         a
                   operator                           +
                   identifier                         c
                   separator                          ;
                   identifier                         a
                   operator                           %=
                   identifier                         b
                   separator                          ;
                   separator                          }
                   keyword                            endwhile
                   separator                          $$
                   identifier                         string
                   identifier                         text
                   operator                           =
                   identifier                         a
                   separator                          ;
                   keyword                            print
                   separator                          (
                   identifier                         text
                   separator                          )
                   separator                          ;
                   separator                          $$
                   keyword                            boolean
                   identifier                         flag
                   operator                           =
                   keyword                            true
                   separator                          ;
                   keyword                            if
                   separator                          (
                   identifier                         b
                   operator                           <=
                   integer                            5
                   separator                          )
                   separator                          {
                   keyword                            print
                   separator                          (
                   identifier                         b
                   separator                          )
                   separator                          ;
                   separator                          }
                   separator                          $$
                   keyword                            return
                   separator                          ;
                   separator                          $$
                   unknown                            .
