
Output:
                    token                             lexeme
------------------------------------------------------------
                   separator                          $$
                   keyword                            function
                   identifier                         f
                   separator                          (
                   identifier                         x
                   keyword                            integer
                   separator                          ,
                   identifier                         y
                   keyword                            integer
                   separator                          )
                   separator                          {
                   keyword                            return
                   identifier                         x
                   operator                           *
                   operator                           -
                   separator                          (
                   identifier                         y
                   operator                           -
                   integer                            2
                   separator                          )
                   operator                           +
                   operator                           !
                   integer                            1
                   separator                          ;
                   separator                          }
                   separator                          $$
                   keyword                            integer
                   identifier                         a
                   operator                           =
                   operator                           -
                   integer                            5
                   separator                          ,
                   identifier                         b
                   operator                           =
                   integer                            3
                   separator                          ,
                   identifier                         c
                   separator                          ;
                   identifier                         c
                   operator                           +=
                   identifier                         a
                   separator                          ;
                   identifier                         c
                   separator                          ,
                   identifier                         a
                   separator                          ,
                   identifier                         example
                   operator                           =
                   unknown                            .2
                   separator                          ,
                   unknown                            4.
                   separator                          ,
                   integer                            40000
                   separator                          ;
                   keyword                            print
                   separator                          (
                   identifier                         a
                   separator                          ,
                   identifier                         c
                   separator                          )
                   separator                          ;
                   separator                          $$
                   keyword                            while
                   separator                          (
                   identifier                         a
                   operator                           -
                   operator                           -
                   operator                           >
                   real                               0.0
                   separator                          )
                   separator                          {
                   keyword                            if
                   separator                          (
                   operator                           !
                   separator                          (
                   identifier                         b
                   operator                           -
                   identifier                         c
                   separator                          )
                   separator                          )
                   keyword                            break
                   separator                          ;
                   identifier                         c
                   operator                           =
                   identifier                         c
                   operator                           *
                   operator                           -
                   integer                            1
                   operator                           +
                   separator                          (
                   identifier                         b
                   operator                           -
                   operator                           -
                   separator                          )
                   separator                          ;
                   separator                          }
                   keyword                            endwhile
                   identifier                         ex_1
                   unknown                            nonexample1@_
                   identifier                         ex_2
                   unknown                            @
                   identifier                         ex3
                   operator                           /
                   identifier                         ex4
                   unknown                            nonexample2.
                   separator                          $$
                   keyword                            return
                   separator                          ;
                   separator                          $$
